Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
166041239;166041239;En ligne;0011;11;0;;48.087672,-1.643471;0
164839493;164839493;Hors-service;;;;;48.110312,-1.641948;
185669757;185669757;Hors-service;;;;;48.064875,-1.703157;
165039784;165039784;En ligne;0072;72;1;;48.006004,-1.698288;31
164438911;164438911;Hors-service;;;;;48.109678,-1.643871;
185469466;185469466;Hors-service;;;;;48.109513,-1.641636;
164639202;164639202;Hors-service;;;;;48.110237,-1.640434;
163637747;163637747;En ligne;0056;56;0;;48.080216,-1.774411;21
185068884;185068884;Hors-service;;;;;48.063993,-1.701545;
164238620;164238620;Hors-service;;;;;48.085113,-1.693226;
163237165;163237165;Hors-service;;;;;48.099272,-1.632514;
184468011;184468011;Hors-service;;;;;48.064234,-1.70115;
162636292;162636292;Hors-service;;;;;48.064876,-1.702915;
163036874;163036874;Hors-service;;;;;48.063755,-1.700515;
184267720;184267720;Hors-service;;;;;48.063677,-1.700428;
162235710;162235710;Hors-service;;;;;48.0648,-1.703473;
162436001;162436001;Hors-service;;;;;48.063839,-1.700671;
183466556;183466556;Hors-service;;;;;48.11024,-1.640596;
161634837;161634837;Hors-service;;;;;48.064639,-1.702517;
162035419;162035419;Hors-service;;;;;48.064875,-1.702027;
182865683;182865683;En ligne;0009;9;0;;48.1384,-1.65907;0
160633382;160633382;Hors-service;;;;;48.063993,-1.701317;
161835128;161835128;Hors-service;;;;;48.063832,-1.700832;
181063064;181063064;Hors-service;;;;;48.052154,-1.717152;
160433091;160433091;Hors-service;;;;;48.064153,-1.702272;
161033964;161033964;Hors-service;;;;;48.063916,-1.701229;
166642112;166642112;En ligne;0005;C5;0;;48.113644,-1.679622;-48
150618832;150618832;En ligne;0001;C1;1;;48.129695,-1.630659;-83
149817668;149817668;Hors-service;;;;;48.109752,-1.640836;
165840948;165840948;Hors-service;;;;;48.109672,-1.643548;
150017959;150017959;En ligne;0002;C2;0;;48.150363,-1.685652;-41
149617377;149617377;En ligne;0006;C6;0;;48.098518,-1.697956;-194
165640657;165640657;En ligne;0067;67;0;;48.109853,-1.673848;-339
146813303;146813303;En ligne;0009;9;1;;48.110559,-1.680142;-61
149417086;149417086;En ligne;0009;9;0;;48.103262,-1.688863;32
165440366;165440366;Hors-service;;;;;48.109678,-1.643629;
146012139;146012139;En ligne;0005;C5;0;;48.138792,-1.666027;0
149216795;149216795;Hors-service;;;;;48.110801,-1.642826;
164038329;164038329;En ligne;0057;57;1;;48.023887,-1.744613;-783
144810393;144810393;Hors-service;;;;;48.109593,-1.642827;
149016504;149016504;Hors-service;;;;;48.110073,-1.641631;
163838038;163838038;En ligne;0072;72;0;;48.042043,-1.710321;0
144409811;144409811;En ligne;0006;C6;0;;48.114107,-1.639213;-174
148615922;148615922;Hors-service;;;;;48.115833,-1.578508;
